Brand,Country
Acme,Africa
AEG,Arabia
AGA Ranges,Argentina
Altus,Australia
Amana,Bangladesh
Amazon,Belgium
Amber,Bolivia
American Standard,Brazil
Amica,Cambodia
Antique,Canada
Apple,Chile
Arcelik,China
Arctic,Colombia
Arisit,Dubai
Ariston,East Africa
Artistry,Ecuador
ASKO,Egypt
Atlas,Europe
Avanti,France
Balay,Germany
Bauknecht,Ghana
Baumatic,Global
beko,Greece
Beldray,Guatemala
Belling,Hungary
Bertazzoni,India
Bespoke,Indonesia
Big Chill,Iran
Black + Decker,Ireland
Black&Decker,Italy
Blomberg,Japan
BlueStar,Kenya
Bob,Korea
Bosch,Malaysia
Bose,Mexico
Brastemp,Morocco
Brightwell,Netherlands
Britania,New Zealand
Britannia,Nigeria
Brown,Pakistan
BSH,Panama
Bugu,Peru
Café,Philippines
Cafe by GE,Poland
Café by GE,Romania
Candy,Russia
Cannon,Scandinavia
Capitol,Singapure
Caple,Slovenia
Casarte,South Africa
CDA,Spain
CHARVET,Sweden
Coldex,Switzerland
Constructa,Taiwan
Cosmo Kitchen Products,Thailand
Cove,Turkey
Criterion,UAE
Crossover,Uganda
Cuisina,UK
Cuisineart,USA
Daan Tech,Vietnam
Dacor,
Daewoo,
Danby,
Dawlance,
Dayoo,
DCS,
De Dietrich,
Defy,
Easy,
Elco,
Electrolux,
Elektrabregenz,
Elica (Midea?),
Elle,
Emerson,
Eurolec,
EuroMonitor,
Faber,
Fagor,
Feesiluu,
Fireview,
Fisher & Paykel,
Fisher&Paykel,
Five Star,
Flavel,
Fotile,
"Foxconn, Vestel, Hisense in the US",
Franke,
Franke Faber,
Frigidaire,
Fulgor,
Gaggenau,
Galanz,
GE,
GE Appliances,
GE Profile,
GE(alliance),
GfK,
GiantexUK,
Glem,
Glem Black,
Godrej,
Google,
Gorenje,
Gram,
Gree,
Grundig,
Haefele,
Haier,
Haier (before Haier bought Candy),
Hansa,
HAVA,
Heartland,
Heatworks,
Highland,
Hisense,
Hisense/Gorenje,
Hitachi,
Homark,
Hoover,
Hoshizaki,
Hotpoint,
Hotpoint (GE has North American Rights),
IFB,
IFB Neptune,
Ignis,
IKEA,
ILVE,
Indesit,
Inglis,
Insignia,
InSinkerator,
ISE,
Jeenow,
Jenn-Air,
Jinling,
Joyoung,
Junker,
Kelvinator,
Kenmore,
Kenmore/Sears,
King,
KitchenAid,
KMART,
Kohler,
Koryo,
Kucht,
Kucht Professional,
LACANCHE,
Lancel,
Leader,
LEC,
Leisure,
LG,
Liebherr,
Mabe,
Macom,
MagicChef,
Marssenger,
Marvel,
Marvel Scientific,
Matter,
Mayerbach,
Maytag,
Meta,
Microsoft,
Midea,
Miele,
Moda,
moffat,
Molteni,
Monogram,
multiple,
National,
Neff,
New World,
no specific,
Nokia,
Northland,
Northstar,
NXR,
Orbysun,
other,
P&G,
Panasonic,
Perlick,
Persil,
Philco,
Philips,
PlanetCare,
Premier,
Profile,
Profilo,
Qudos,
Resojet Pvt Ltd,
Richmond,
Robam,
Roborock,
Roper,
Rorgue,
Samsung,
Scholtès,
SEB,
Servis,
Sharp,
Shriro,
Siemens,
SK Magic,
SMEG,
SpeedQueen,
Staber,
Sterling,
Stoves,
Sub-Zero,
"Sub-Zero, Wolf",
"Sub-Zero, Wolf, Cove",
Summit,
Super Plastronics Pvt Ltd ,
surfing,
Swan,
Tappan,
TCL,
Teka,
Tetra,
The Bob,
Thermador,
Thor Kitchen,
Tide,
Toshiba,
Tramontina,
Trane,
TTK Prestige,
U-Line,
Ufesa,
V-Zug,
Vatti,
Verona,
Vestel,
Victoria Plum,
Viking,
Viva,
Voltas,
VZug,
Wash Cycle Laundry,
Westinghouse,
Whirlpool,
White Knight,
Whitehouse,
Wolf,
Wyzr,
Xiaomi,
Yale,
Zanussi,
Zelmer,
ZLine,
